text,score
"


														
															
															
																올라프의 1편요약이 기가맥힙니다 
															
														
														
													
",10
"


														
															
															
																크리스토퍼 뮤비에서 좀 흠칫함 
															
														
														
													
",10
"


														
															
															
																애기들 울고 떠들고 하는거 보고 엘사 마법으로 얼릴뻔 했네요 
															
														
														
													
",10
"


														
															
															
																엘사옷 보고 어머니들 긴장하는 영화 
															
														
														
													
",10
"


														
															
															
																백마탄 엘사님 Show yourself 장면 진짜 개오집니다 단언컨데 제2의 렛잇고는 into the unknown 아니고 Show yourself 입니다 
															
														
														
													
",10
"
관람객


														
															
															
																미래가 보이지 않을 때는 지금 해야할 일을 해야 해 
															
														
														
													
",10
"
관람객


														
															
															
																겨울왕국 역시는 역시였다. OST도 1편만큼이나 중독성있다고 생각함ㅋㅋㅋ1편만큼 존잼임 
															
														
														
													
",10
"


														
															
															
																엘사 물 속에서 말타고 나올 때 대박ㅋㅋㅋㅋ 
															
														
														
													
",10
"
관람객


														
															
															
																나는 개인적으로 2편이 더 좋았음. 더 깊어진 스토리에 아름다워진 영상미. 한번 더 볼 의향 있음. 
															
														
														
													
",10
"


														
															
															
																디즈니가 얼마나 팬을 생각하는지 알수있는 영화...1편 아동용 영화에서 1편을 보고 자란 성인들까지 보는데 재미를 느낄수 있게 만드는 2편 
															
														
														
													
",9
"
관람객


														
															
															
																크리스토퍼 혹시 과거에 뮤비찍어본적 있니?왜 이렇게 잘해??...순간 당황했잖아 
															
														
														
													
",10
"


														
															
															
																겨울왕국 2 역시 디즈니 입니다.영상미 하나만 가지고도 정말 인생 애니작을 본거에요 와 1편에서 렛잇고 열풍 이었다면 2편은 노래 영상 감동 스토리 모두를 갖추었네요 1편보다 더 훌륭합니다.꼭보세요 정말 최고네요. 
															
														
														
													
",10
"
관람객


														
															
															
																스토리는 나쁘지 않았는데 소재가 어둡다보니, 겨울왕국1같은 밝고 신나는 ost가 적은듯... 그리고 ost가 귀에 남을만한게 없다는 아쉬움 
															
														
														
													
",8
"
관람객


														
															
															
																렛잇고가 대박쳐서 그런지 이번에 노래가 과하게 많다. 
															
														
														
													
",6
"
관람객




																		스포 때문에 메인 넘버를 into the unknown으로 정한 느낌... 진짜 하이라이트는 show yourself 엄마와 함께 부르는 듀엣씬입니다. 이 장면만으로도 충분히 영화관에서 볼 가치가 있어요. 보고 난 ...
																	


",10
"
관람객


														
															
															
																역시 겨울왕국..기대한만큼 만족스러웠음ㅜㅜ엘사 미모에 치이고 OST에 한번 더 치이고..한번 더 볼 생각임!! 
															
														
														
													
",10
"
관람객


														
															
															
																이토록 완벽한 속편이라니. 여전히 아름답고 황홀한 스케일과 OST. '역시 믿고 보는 디즈니' 라는 말이 절로 나온다. 그렇게 부모와 어른이들의 통장은 또 한번 굿즈로 탈탈탈... 
															
														
														
													
",10
"
관람객


														
															
															
																올라프가 다한 영화입니다 
															
														
														
													
",10
"


														
															
															
																크리스토프의 뮤직비디오 인상깊었어요 
															
														
														
													
",10
"
관람객


														
															
															
																엘사가 성장한  모습으로 행복한 길을선택한것 같아 너무 감동이었음ㅠㅠ진짜 너무 재밌다 
															
														
														
													
",10
"


														
															
															
																와... 감상포인트는 영화 자체가 바로 감상포인트 라고 생각합니다 노래도 겨울왕국2에선 더 섬세한 부분까지 다룬 것 같아 몰입도 최강이었습니다! 1번째로 영화를 본 보람이 있네요!!! 
															
														
														
													
",10
"


														
															
															
																'렛잇고'만큼의 OST는 아니지만 전편못지않은 속편, 여전한 스케일과 화려함, 쿠키영상있어요~ 천만가즈아~!! 
															
														
														
													
",10
"


														
															
															
																니들 영화보고 평점 남기니? 
															
														
														
													
",10
"
관람객


														
															
															
																전작 ost가 너무 넘사벽이여서 노래가 너무 아쉬웠구요 스토리연출도 전갠적으로 원이 나았어요 전체적으로 아쉬웠어요 
															
														
														
													
",6
"




																		디지니가 한건 했습니다. 제대로 보시려면 3D&4D로 봐야 됩니다. 20대 초반에 나왔는데 벌써 20대 중 후반이 ... 세월이 유수처럼 흐릅니다. 나중에 한번 더 볼려고합니다. 연출.연기.스토리.영상미.OST 완벽...
																	


",10
"


														
															
															
																이번건 진짜 양상미가 미쳣음 
															
														
														
													
",10
"
관람객


														
															
															
																Let it go같은 킬러곡이 없음. 
															
														
														
													
",7
"

스포일러가 포함된 감상평입니다. 감상평 보기



																		아토할란의 4원소 결정=엘사가 중심 밟으면서 눈결정 모양이됨=자세히보면 다섯번째 정령형상=다섯번째 정령이 엘사를 부르는 소리'워어어~'=어린엘사엄마가 어린엘사아빠 구하려고 정령을 부르는 소리=쇼유어셀프...
																	


",10
"
관람객


														
															
															
																1편만한 2편없다더니 딱 그런거 같아요 스토리도 좀 산만하고 노래도 1편만큼 감동이 없네요 
															
														
														
													
",6
"


														
															
															
																1보다 재밌으면 추천해주세요~~ 
															
														
														
													
",10
"
관람객


														
															
															
																올라프는 흡사 광해의 이병헌급 연기자. 
															
														
														
													
",10
"
관람객


														
															
															
																영상미와 ost의 완성은 결국 각본이라는 걸 다시 생각하게 해준 영화 
															
														
														
													
",6
"


														
															
															
																거북이는 엉덩이로 숨을 쉴 수 있다. 
															
														
														
													
",10
"
관람객


														
															
															
																요정이었구나 어쩐지 너무 예뻤어 
															
														
														
													
",8
"


														
															
															
																역시 전편이 더 나은것같다. 영상미와 ost는 좋으나..옆에 친구는 잤다 
															
														
														
													
",7
"
관람객


														
															
															
																1화가 너무 대작이라 그런지 2화는 스토리도 없고 재미도 없는데 노래만 개많음. 이걸 만드느라 5년이나 걸렸다는게 의문. 엘사만 이뻐짐. 영화 다 보고 기억나는거 아아아아 이거 하나임. 
															
														
														
													
",2
"


														
															
															
																스토리가 너무 개연성없이 흘러감 대사로 처리하는 설명이 너무 많음 노래가 지나치게 많은데 귀에 꽂히는 노래가 없어서 노래나올 때 지루함 스토리의 개연성이 부족해서 인물들의 감정에 공감이 잘 안됨 
															
														
														
													
",2
"


														
															
															
																보고 나오는데 나뭇잎이 날리길래 '..게일..?' 
															
														
														
													
",10
"
관람객


														
															
															
																개인적으로 난 그냥 그저 그랬음.. 
															
														
														
													
",8
"


														
															
															
																영상미는 진짜 대박이였어요... 너무이뻤는데.... 스토리를 그딴식으로 짜면 어떡합니까 이해되기쉽게 천천히 풀어주던가 갑분계 (갑자기 분위기 계속바뀜;;) 
															
														
														
													
",4
"


														
															
															
																댐은 원래 영어입니다 여러분!!!!영화 미쳤어요 꼭보세요^^^ 
															
														
														
													
",10
"
관람객


														
															
															
																1편도 엄청 봤는데 , 2편은 더 많이 볼것 같아요 ㅜ 저만 울었나요? ^^;;  음악도 좋고 영상미는 말할것도 없고 전 너무 감동적으로 보았어요 
															
														
														
													
",10
"
관람객


														
															
															
																기대를 너무 많이 한 내 잘못입니다....ㅠ미안해요 엘사♡ 
															
														
														
													
",6
"


														
															
															
																스토리나 ost가 전편보단 덜한듯 
															
														
														
													
",6
"


														
															
															
																전작 보다 뛰어난 속편은 없다. 
															
														
														
													
",10
"


														
															
															
																시각효과말곤 아무것도 없다. 
															
														
														
													
",2
"




																		웃음포인트도 적절히 있고 스토리도 좋고 영상미는 정말 공을 많이 들인듯 합니다 .조만간 엘사옷 엄청 팔릴듯 하네용 ㅋㅋㅋ나오면서 사람들 워어어어~ 워어어어~ 이러면서 나오는데 제가 엘사된거 같네요 ㅋㅋㅋ쿠키는 1개입...
																	


",10
